iteration,objective,objective_change,accepted_step,gradient_norm,projected_gradient_norm,directional_derivative,max_abs_gauge_error,omega_x1_gauge_error,theta_x1x1_gauge_error,fomega_rms,fzeta_rms,divergence_rms,curl_rms,mode,search_step_scale,fomega_loss,fzeta_loss,divergence_loss,curl_loss
1,0.7577253857665373,-0.24920370007755832,3.1339730549240544e-06,2772426186.3383074,1.0446576849746848e-05,-113790.10431677157,4.8405723873656825e-14,4.8405723873656825e-14,-1.7763568394002505e-15,7.231585059707875e-08,3.61011034854402e-08,1.4726192233373204e-09,2.7884326793526036e-05,rowband_all,1.0446576849746848e-05,0.41264222805117673,0.29377533217397156,0.005017452248525898,0.046290373292863014
2,0.68882532735856,-0.0689000584079773,1.0446576856431418e-06,48471748722.36134,1.0446576856431418e-05,-163648.52287103186,2.4868995751603507e-14,2.4868995751603507e-14,2.020605904817785e-14,7.066400681834675e-08,3.3704638210773826e-08,3.739089927051652e-09,1.03722331890071e-05,rowband_all,1.0446576856431418e-05,0.3940063223718787,0.2560670578148798,0.03234700962524632,0.006404937546555099
3,0.6105385704858307,-0.07828675687272924,1.0446576856425302e-06,21385672443.238205,1.0446576856425301e-05,-189205.75902140324,7.061018436615996e-14,1.865174681370263e-14,7.061018436615996e-14,6.844248854780437e-08,3.092568369266563e-08,2.0475583621958635e-09,1.62049676266088e-05,rowband_all,1.0446576856425301e-05,0.3696223773405666,0.2155822455255514,0.009700070619346133,0.015633877000366662
4,0.5747780995714569,-0.03576047091437384,3.133973056805795e-07,16393271916.367939,1.0446576856019317e-05,-155867.64984113898,1.5565326805244695e-13,1.5565326805244695e-13,6.350475700855895e-14,6.766030607700339e-08,3.006621822089694e-08,1.3286352516845448e-09,9.789426040261664e-06,rowband_all,1.0446576856019317e-05,0.3612223288379163,0.20376612309408257,0.00408426449780834,0.005705383141649653
5,0.5590781680516155,-0.015699931519841392,3.133973056438987e-07,2026647311.2927961,1.0446576854796623e-05,-79383.56354493958,1.4144241333724494e-13,1.4144241333724494e-13,4.0190073491430667e-14,6.709548374898533e-08,2.9520421562221958e-08,1.4739522467143348e-09,6.348896956349398e-06,rowband_all,1.0446576854796623e-05,0.35521659664289496,0.19643527635705085,0.005026540012986397,0.0023997550386832965
6,0.5467426601799908,-0.01233550787162463,3.13397305529059e-07,6261840500.07083,1.0446576850968634e-05,-73597.8774242458,1.0391687510491465e-13,1.0391687510491465e-13,8.038014698286133e-14,6.655166190033788e-08,2.8969031857616627e-08,1.4171561990713464e-09,7.610930852887217e-06,rowband_all,1.0446576850968634e-05,0.3494817341152955,0.18916567513951915,0.004646626435837074,0.0034486244893392193
7,0.5353023823148312,-0.011440277865159665,3.1339730510874003e-07,3437332727.0091624,1.0446576836958002e-05,-76515.58505740816,1.0036416142611415e-13,1.8207657603852567e-14,1.0036416142611415e-13,6.603048944249004e-08,2.854582084287674e-08,1.4736292059562149e-09,6.569674053319492e-06,rowband_all,1.0446576836958002e-05,0.34402951638709955,0.1836789734763105,0.005024336957410546,0.0025695554940105645
8,0.5249065564066439,-0.010395825908187328,3.133973056670496e-07,12979076851.029655,1.044657685556832e-05,-75042.97723789455,1.1679546219056647e-13,-1.1679546219056647e-13,8.126832540256146e-14,6.551188396575243e-08,2.8124101848929705e-08,1.4193266313503153e-09,7.453070634835163e-06,rowband_all,1.044657685556832e-05,0.3386467015053124,0.17829193405040084,0.004660870329274921,0.003307050521655663
9,0.515710779334126,-0.009195777072517841,3.133973055738079e-07,10444443065.30351,1.0446576852460264e-05,-72100.51467152809,1.8118839761882555e-13,-1.8118839761882555e-13,5.906386491005833e-14,6.501987652556389e-08,2.7834044988530563e-08,1.4774259521040043e-09,6.41245432233667e-06,rowband_all,1.0446576852460264e-05,0.33357919239959605,0.17463328428501734,0.005050260312285646,0.002448042337226987
10,0.5075242614690862,-0.008186517865039766,3.133973056842808e-07,9073958463.62237,1.0446576856142694e-05,-69514.5431448201,1.645350522494482e-13,-1.645350522494482e-13,4.063416270128073e-14,6.452981278723608e-08,2.75509303935475e-08,1.4212531514429074e-09,7.311112863287652e-06,rowband_all,1.0446576856142694e-05,0.3285696781480417,0.17109877930816114,0.0046735317619996325,0.003182272250883771
11,0.5005571973945007,-0.006967064074585583,3.1339730567904414e-07,13314455584.551477,1.0446576855968139e-05,-66230.74341538755,4.218847493575595e-14,1.176836406102666e-14,4.218847493575595e-14,6.406911459146296e-08,2.740251014748638e-08,1.4789776213568255e-09,6.270872055893513e-06,rowband_all,1.0446576855968139e-05,0.32389490511899904,0.16926028450186414,0.005060873972748121,0.002341133800889384
12,0.4945727176883189,-0.005984479706181767,3.133973056912687e-07,13091075051.89375,1.0446576856375623e-05,-63501.71975108384,1.1324274851176597e-13,-1.1324274851176597e-13,4.1522341120980855e-14,6.360993953687803e-08,2.726505423659265e-08,1.4196405819507123e-09,7.186135753720195e-06,rowband_all,1.0446576856375623e-05,0.3192689159134615,0.16756646348490498,0.0046629324971265386,0.0030744057928258493
13,0.48982036068605045,-0.004752357002268448,3.133973056926116e-07,26007704838.867958,1.0446576856420387e-05,-59907.88444848595,5.861977570020827e-14,-3.863576125695545e-14,5.861977570020827e-14,6.318194625360319e-08,2.7263342855683368e-08,1.4760444697647933e-09,6.143619222735929e-06,rowband_all,1.0446576856420387e-05,0.3149870300498229,0.16754542842338463,0.005040820132174615,0.0022470820806682803
14,0.48542989067397235,-0.004390470012078096,1.0446576856358576e-07,10135045338.709381,1.0446576856358575e-05,-57014.691719272916,2.34035013590983e-13,-2.34035013590983e-13,7.571721027943568e-14,6.30027904571686e-08,2.7219379263896856e-08,1.2526546252027517e-09,5.168952493204829e-06,rowband_all,1.0446576856358575e-05,0.31320323743351813,0.16700551225038515,0.0036304880349361896,0.0015906529551329121
15,0.4840469494266999,-0.0013829412472724512,1.0446576856076945e-07,9837953740.254425,1.0446576856076945e-05,-27301.89993821359,4.438671652451376e-13,-4.438671652451376e-13,3.952393967665557e-14,6.285613275504015e-08,2.722113725812233e-08,1.2264836280879872e-09,5.487430335669232e-06,rowband_all,1.0446576856076945e-05,0.31174678750031143,0.16702708542473155,0.003480373296674117,0.0017927032049828374
16,0.4828077968098337,-0.0012391526168661904,1.0446576856419079e-07,9590157751.894247,1.0446576856419079e-05,-25037.540552008995,4.645173135031655e-13,-4.645173135031655e-13,1.2434497875801753e-14,6.271557530965625e-08,2.7242937227925744e-08,1.2476380680789586e-09,5.114811601186938e-06,rowband_all,1.0446576856419079e-05,0.310354104324824,0.16729471887446784,0.0036014679331838346,0.0015575056773580271
17,0.4818017708412545,-0.0010060259685792383,1.044657685623327e-07,9358824617.523811,1.044657685623327e-05,-23618.003922265398,5.81756864903582e-13,-5.81756864903582e-13,5.81756864903582e-14,6.257401998695644e-08,2.727180014401336e-08,1.2220812430560158e-09,5.409677763941908e-06,rowband_all,1.044657685623327e-05,0.30895468494921696,0.16764939218034788,0.003455432980495663,0.0017422607311939225
18,0.4808294782195825,-0.0009722926216719774,1.044657685645141e-07,9129549264.721455,1.044657685645141e-05,-23635.059324039004,4.0523140398818214e-13,-4.0523140398818214e-13,1.0769163338864018e-13,6.243840913743349e-08,2.7309298202848028e-08,1.242921293771675e-09,5.065227786771711e-06,rowband_all,1.044657685645141e-05,0.30761699857693575,0.16811073676696903,0.003574288254959653,0.0015274546207180916
19,0.480066130495641,-0.0007633477239414876,1.0446576856351049e-07,8908186750.471794,1.0446576856351049e-05,-21627.249089998204,4.050093593832571e-13,-4.050093593832571e-13,1.13464793116691e-13,6.230133163688923e-08,2.7354389969836376e-08,1.217830526358816e-09,5.344532775773719e-06,rowband_all,1.0446576856351049e-05,0.3062677943714745,0.16866634741020003,0.0034314369944843876,0.0017005517194820909
20,0.4793390814773902,-0.0007270490182508249,1.044657685646149e-07,8683712135.48467,1.044657685646149e-05,-21316.97851349653,2.9953817204386723e-13,-2.9953817204386723e-13,6.061817714453355e-14,6.22082800186547e-08,2.737636361930357e-08,1.2384133486145625e-09,5.018878658105584e-06,rowband_all,1.044657685646149e-05,0.30535361065600025,0.16893743397373756,0.0035484081353067535,0.001499628712345605
21,0.47875338188027083,-0.000585699597119349,1.0446576856351181e-07,8465288614.4050665,1.044657685635118e-05,-20038.050672941306,2.6556534749033744e-13,-2.6556534749033744e-13,2.3314683517128287e-14,6.207364131560964e-08,2.7433833687583858e-08,1.2137544303943624e-09,5.287000583346158e-06,rowband_all,1.044657685635118e-05,0.3040332743965646,0.16964746520287224,0.00340850529904159,0.0016641369817924437
22,0.47819598163679006,-0.0005574002434807768,1.0446576855989717e-07,8242603219.973509,1.0446576855989716e-05,-19765.604161331514,1.8030021919912542e-13,-1.8030021919912542e-13,-3.774758283725532e-15,6.198255087946349e-08,2.746693411632137e-08,1.2340971978737019e-09,4.975059669499078e-06,rowband_all,1.0446576855989716e-05,0.3031416172386544,0.17005709016037338,0.0035237172265892135,0.0014735570111730457
23,0.4777883984272669,-0.00040758320952316573,1.0446576855732086e-07,8025527858.139734,1.0446576855732086e-05,-18412.09549699213,2.6068036618198676e-13,-2.6068036618198676e-13,4.884981308350689e-14,6.185027728555233e-08,2.7536640035497058e-08,1.2098346825820272e-09,5.234706677117981e-06,rowband_all,1.0446576855732086e-05,0.30184916168398934,0.1709213313112998,0.0033865257166562925,0.0016313797153214003
24,0.47739856599733893,-0.00038983242992796097,1.0446576854579939e-07,7802803883.194559,1.0446576854579938e-05,-18223.332312182683,2.2581936320875684e-13,-2.2581936320875684e-13,5.684341886080802e-14,6.176123352520213e-08,2.7580714455955214e-08,1.2299498437538203e-09,4.933287741088207e-06,rowband_all,1.0446576854579938e-05,0.3009806631719918,0.17146891354205765,0.003500073146000009,0.0014489161372895603
