iteration,objective,objective_change,accepted_step,gradient_norm,projected_gradient_norm,directional_derivative,max_abs_gauge_error,omega_x1_gauge_error,theta_x1x1_gauge_error,fomega_rms,fzeta_rms,divergence_rms,curl_rms,mode,search_step_scale,fomega_loss,fzeta_loss,divergence_loss,curl_loss
1,1.0002650792613745,-3.185267988548013e-05,3.0189130962038324e-09,148115829.58898267,3.0189130962038324e-09,-25549.62486078906,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960321140256486e-08,4.7097384254236805e-08,1.1151093686172782e-09,7.5807813306026006e-06,rowband_pq,3.0189130962038324e-09,0.499997519051571,0.49999763139993564,0.00012329925741888444,0.00014662955244912161
2,1.0002614851110276,-3.5941503468972513e-06,3.018913096203833e-10,115413944.75583981,3.018913096203833e-09,-21649.69577985336,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.96031883565066e-08,4.709737184497779e-08,1.101976506476011e-09,7.576798763979325e-06,rowband_pq,3.018913096203833e-09,0.4999972295413844,0.4999973679203648,0.00012041212015330848,0.0001464755291251976
3,1.0002564895328228,-4.995578204880502e-06,3.018913096203833e-10,1110413856.5607262,3.018913096203833e-09,-29768.794475761828,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960316198180639e-08,4.709735830034712e-08,1.0823778501868072e-09,7.573391910231689e-06,rowband_pq,3.018913096203833e-09,0.4999968982160915,0.49999708033409634,0.00011616714725793206,0.00014634383537686922
4,1.0002543094882035,-2.1800446192710154e-06,3.0189130962038327e-10,787387733.0408666,3.0189130962038324e-09,-22018.138571072253,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960313169583284e-08,4.7097343457951806e-08,1.0757536222574581e-09,7.5716608298148025e-06,rowband_pq,3.0189130962038324e-09,0.4999965177565828,0.499996765193145,0.00011474959624221388,0.0001462769422336399
5,1.0002505113775533,-3.7981106502105177e-06,3.0189130962038316e-10,1835098541.9282606,3.0189130962038316e-09,-27660.91925621799,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960309770810911e-08,4.709732735619844e-08,1.0614816147064237e-09,7.571539085978622e-06,rowband_pq,3.0189130962038316e-09,0.4999960907949916,0.4999964233130035,0.00011172503122601375,0.00014627223833225717
6,1.00024891842696,-1.592950593209963e-06,3.018913096203832e-10,3127344939.46842,3.018913096203832e-09,-20144.626158446255,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960306110207451e-08,4.709731037472231e-08,1.0582750816097373e-09,7.568987803907844e-06,rowband_pq,3.018913096203832e-09,0.4999956309417821,0.4999960627542934,0.0001110510508141238,0.00014617368007037717
7,1.0002454769097178,-3.441517242297465e-06,3.018913096203832e-10,2329299822.9339395,3.018913096203832e-09,-26747.429797194447,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960302293993744e-08,4.7097292964572045e-08,1.0457318566452562e-09,7.569619834640052e-06,rowband_pq,3.018913096203832e-09,0.4999951515406894,0.49999569309390723,0.00010843418224485176,0.0001461980928763396
8,1.000244095160883,-1.3817488346834494e-06,3.0189130962038327e-10,3593910166.684467,3.0189130962038324e-09,-19581.863140044446,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960298366157968e-08,4.709727502118446e-08,1.0438423159385084e-09,7.566620437133875e-06,rowband_pq,3.0189130962038324e-09,0.4999946581176291,0.49999531211172155,0.00010804267520469872,0.00014608225632771956
9,1.0002407709893486,-3.324171534480058e-06,3.018913096203833e-10,2381241521.8384337,3.018913096203833e-09,-26347.117733570245,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960294346212093e-08,4.709725664441407e-08,1.0322638524372534e-09,7.565443668034782e-06,rowband_pq,3.018913096203833e-09,0.4999941531237549,0.4999949219279053,0.00010565911557242222,0.00014603682211592926
10,1.000239433366472,-1.3376228766848186e-06,9.056739288611495e-11,1927089588.6442487,3.018913096203832e-09,-19178.499124383652,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960293114948464e-08,4.7097251018354706e-08,1.027217853419538e-09,7.564587922696772e-06,rowband_pq,3.018913096203832e-09,0.4999939984499349,0.4999948024729244,0.00010462865677328669,0.00014600378683939002
