iteration,objective,objective_change,accepted_step,gradient_norm,projected_gradient_norm,directional_derivative,max_abs_gauge_error,omega_x1_gauge_error,theta_x1x1_gauge_error,fomega_rms,fzeta_rms,divergence_rms,curl_rms
1,10.96590437052318,-0.034095629476819767,3e-16,429839250810144.5,429839250810144.5,-429839250810144.56,0.0,0.0,0.0,7.960340889721139e-08,4.7097495745444796e-08,1.2299369870844436e-09,7.641225565509815e-06
2,10.956203056402451,-0.009701314120729165,9e-17,202656388787138.7,202656388787138.62,-202656388787138.62,0.0,0.0,0.0,7.960340889649345e-08,4.709749576480798e-08,1.2299369868639536e-09,7.633758027584268e-06
3,10.956166897796098,-3.615860635264312e-05,9e-18,13714678314441.654,13714678314440.53,-13714678314440.531,0.0,0.0,0.0,7.960340889644551e-08,4.7097495766104194e-08,1.2299369850196467e-09,7.633730192537416e-06
4,10.956148642676206,-1.825511989217432e-05,9e-18,7534747310484.277,7534747310482.2295,-7534747310482.23,0.0,0.0,0.0,7.9603408896443e-08,4.709749576606672e-08,1.2299369817488796e-09,7.633716154291798e-06
5,10.955625025838266,-0.0005236168379401107,9e-17,6347282759906.028,6347282759903.597,-6347282759903.596,0.0,0.0,0.0,7.9603408896297e-08,4.709749576884255e-08,1.2299369431991655e-09,7.633313134144187e-06
6,10.955597717192706,-2.7308645559998013e-05,9e-18,11123374388707.08,11123374388705.693,-11123374388705.693,0.0,0.0,0.0,7.960340889633639e-08,4.709749576752922e-08,1.229936941256778e-09,7.633292114095938e-06
7,10.955579684199625,-1.8032993081007476e-05,9e-18,8692210074181.156,8692210074179.381,-8692210074179.38,0.0,0.0,0.0,7.960340889633713e-08,4.709749576754776e-08,1.2299369384342433e-09,7.633278243312345e-06
8,10.955272673970692,-0.00030701022893353525,9e-17,6334182888407.965,6334182888405.528,-6334182888405.529,0.0,0.0,0.0,7.960340889617376e-08,4.7097495771737406e-08,1.229936903326513e-09,7.633042009362897e-06
9,10.955110425040942,-0.00016224892974925353,9e-18,30680147259430.754,30680147259430.254,-30680147259430.254,0.0,0.0,0.0,7.960340889626651e-08,4.709749576918219e-08,1.2299369029003753e-09,7.632917047924419e-06
10,10.955081259097273,-2.916594366908498e-05,9e-18,15151596730892.22,15151596730891.203,-15151596730891.207,0.0,0.0,0.0,7.960340889638664e-08,4.7097495765887625e-08,1.2299369011567557e-09,7.632894595065253e-06
