iteration,objective,objective_change,accepted_step,gradient_norm,projected_gradient_norm,directional_derivative,max_abs_gauge_error,omega_x1_gauge_error,theta_x1x1_gauge_error,fomega_rms,fzeta_rms,divergence_rms,curl_rms
1,1.0002989758013463,-1.0241986538872538e-06,3e-16,12899922272.36463,12899921075.731895,-12899921075.7319,6.661338147750939e-16,-2.220446049250313e-16,6.661338147750939e-16,7.9603408897197e-08,4.70974957454408e-08,1.2299369860761282e-09,7.64122556550982e-06
2,1.000298685163639,-2.9063770723425364e-07,9e-17,6075797254.788748,6075794714.1398945,-6075794714.139895,6.661338147750939e-16,-2.220446049250313e-16,6.661338147750939e-16,7.960340889646865e-08,4.709749576480061e-08,1.2299369851178895e-09,7.633758027584263e-06
3,1.000298684187447,-9.761920161110993e-10,9e-18,415990915.01260483,415953805.65894425,-415953805.6589445,8.881784197001252e-16,-2.220446049250313e-16,8.881784197001252e-16,7.960340889640597e-08,4.709749576609583e-08,1.2299369829647247e-09,7.633732295726893e-06
4,1.0002986835938346,-5.936124924943442e-10,9e-18,243358027.14633054,243294587.78499815,-243294587.78499818,1.5543122344752192e-15,-4.440892098500626e-16,1.5543122344752192e-15,7.960340889665779e-08,4.709749576577795e-08,1.229936978467578e-09,7.633717177403046e-06
5,1.0002986696164735,-1.3977361046357828e-08,9e-17,208143858.67394444,208069682.97331652,-208069682.9733165,3.3306690738754696e-15,-8.881784197001252e-16,3.3306690738754696e-15,7.960340876766393e-08,4.709749575528526e-08,1.229936929163104e-09,7.633405986572587e-06
6,1.0002986673317436,-2.284729960777554e-09,9e-18,570412912.4829757,570385849.9313698,-570385849.9313699,3.3306690738754696e-15,-1.1102230246251565e-15,3.3306690738754696e-15,7.960340876757415e-08,4.709749575743726e-08,1.2299369276471968e-09,7.633346198407449e-06
7,1.0002986649931123,-2.3386312886231053e-09,2.7e-17,221846390.32581034,221776797.64783165,-221776797.64783168,5.10702591327572e-15,-1.5543122344752192e-15,5.10702591327572e-15,7.960340870315712e-08,4.709749575498134e-08,1.2299369150158707e-09,7.633308352995215e-06
8,1.0002986630856965,-1.907415780877386e-09,8.1e-18,537713151.3012589,537684442.9193413,-537684442.9193413,5.10702591327572e-15,-1.7763568394002505e-15,5.10702591327572e-15,7.960340870311603e-08,4.7097495755865114e-08,1.2299369133548887e-09,7.633258927144663e-06
9,1.0002986594187573,-3.666939196733665e-09,2.4300000000000002e-17,216471166.86802557,216399845.56421694,-216399845.56421697,7.105427357601002e-15,-1.5543122344752192e-15,7.105427357601002e-15,7.960340863631974e-08,4.709749575638045e-08,1.2299369023267359e-09,7.63318611787078e-06
10,1.000298658903776,-5.149813908644774e-10,7.29e-18,287156171.1585191,287102409.7964388,-287102409.7964386,7.549516567451064e-15,-1.7763568394002505e-15,7.549516567451064e-15,7.960340863629619e-08,4.709749575634667e-08,1.2299368997728465e-09,7.633172938921152e-06
11,1.0002986566489278,-2.254848086025163e-09,2.187e-17,215822896.63431552,215751361.03426504,-215751361.0342651,8.881784197001252e-15,0.0,8.881784197001252e-15,7.96034086085954e-08,4.7097495754290546e-08,1.22993689027025e-09,7.633125164770212e-06
12,1.0002986561897813,-4.5914649859923884e-10,6.561e-18,317635843.78657854,317587242.08932114,-317587242.08932126,8.881784197001252e-15,0.0,8.881784197001252e-15,7.960340860857665e-08,4.709749575430873e-08,1.229936888420161e-09,7.63311338487735e-06
13,1.0002986558400102,-3.4977110097145214e-10,6.561e-18,240772828.26169828,240708707.58870262,-240708707.58870268,9.547918011776346e-15,-2.220446049250313e-16,9.547918011776346e-15,7.960340860856722e-08,4.7097495754310464e-08,1.2299368855543163e-09,7.633104425282157e-06
14,1.0002986475212534,-8.318756794523097e-09,6.561e-17,206366314.93229285,206291500.11238557,-206291500.1123856,1.0436096431476471e-14,4.440892098500626e-16,1.0436096431476471e-14,7.960340848842898e-08,4.709749575198135e-08,1.229936856273317e-09,7.632931055341148e-06
